##,continent,color
1,ITA,3
2,ITA,3
3,ITA,3
4,USA,1
5,USA,1
6,USA,1
7,USA,1
8,USA,1
9,USA,1
10,USA,1
11,USA,1
12,USA,1
13,USA,1
14,ITA,3
15,CHN,2
16,CHN,2
17,CHN,2
18,ITA,3
19,ITA,3
20,ITA,3
21,ITA,3
22,ITA,3
23,CHN,2
24,ITA,3
25,CHN,2
26,CHN,2
27,CHN,2
28,CHN,2
29,CHN,2
30,CHN,2
